TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
EBU MBB,116650,36m Band 5A Tablet Laptop Business Plan 25GB,61.205,3.06025
EBU MBB,116651N,36m Band 5A Tablet Laptop Business Plan Unlimited Max,140.2,7.01
EBU MBB,116651,36m Band 5A Tablet Laptop Business Plan Unlimited Max,91.13,4.5565
EBU MBB,116652N,36m Band 6 Tablet Laptop Business Plan 2GB,67.91,3.3955
EBU MBB,116652,36m Band 6 Tablet Laptop Business Plan 2GB,33.955,1.69775
EBU MBB,116653N,36m Band 6 Tablet Laptop Business Plan 6GB,103.03,5.1515
EBU MBB,116653,36m Band 6 Tablet Laptop Business Plan 6GB,51.515,2.57575
EBU MBB,116654N,36m Band 6 Tablet Laptop Business Plan 25GB,97.66,4.883
EBU MBB,116654,36m Band 6 Tablet Laptop Business Plan 25GB,48.83,2.4415
EBU MBB,116655N,36m Band 6A Tablet Laptop Business Plan 2GB,75.52,3.776
EBU MBB,116655,36m Band 6A Tablet Laptop Business Plan 2GB,37.76,1.888
EBU MBB,116656N,36m Band 6A Tablet Laptop Business Plan 6GB,93.02,4.651
EBU MBB,116656,36m Band 6A Tablet Laptop Business Plan 6GB,46.51,2.3255
EBU MBB,116657N,36m Band 6A Tablet Laptop Business Plan 25GB,108.02,5.401
EBU MBB,116657,36m Band 6A Tablet Laptop Business Plan 25GB,54.01,2.7005
EBU MBB,116658N,36m Band 7 Tablet Laptop Business Plan 2GB,70.31,3.5155000000000003
EBU MBB,116658,36m Band 7 Tablet Laptop Business Plan 2GB,35.155,1.7577500000000001
EBU MBB,116659N,36m Band 7 Tablet Laptop Business Plan 6GB,85.31,4.2655
EBU MBB,116659,36m Band 7 Tablet Laptop Business Plan 6GB,42.655,2.13275
EBU MBB,116660N,36m Band 7 Tablet Laptop Business Plan 25GB,102.81,5.1405
EBU MBB,116660,36m Band 7 Tablet Laptop Business Plan 25GB,51.405,2.57025
EBU MBB,116661N,36m Band Y Tablet Laptop Business Plan 2GB,119.06,5.953
EBU MBB,116661,36m Band Y Tablet Laptop Business Plan 2GB,59.53,2.9765
EBU MBB,116662N,36m Band Y Tablet Laptop Business Plan 6GB,136.56,6.828
EBU MBB,116662,36m Band Y Tablet Laptop Business Plan 6GB,68.28,3.414
EBU MBB,116663N,36m Band Y Tablet Laptop Business Plan 25GB,154.06,7.703
EBU MBB,116663,36m Band Y Tablet Laptop Business Plan 25GB,77.03,3.8515
EBU MBB,116664N,36m Band Y Tablet Laptop Business Plan Unlimited Max,155.31,7.7655
EBU MBB,116664,36m Band Y Tablet Laptop Business Plan Unlimited Max,100.95150000000001,5.047575000000001
EBU MBB,116665N,36m Band Z Tablet Laptop Business Plan 2GB,229.38,11.469000000000001
EBU MBB,116665,36m Band Z Tablet Laptop Business Plan 2GB,114.69,5.734500000000001
EBU MBB,116666N,36m Band Z Tablet Laptop Business Plan 6GB,244.38,12.219000000000001
EBU MBB,116666,36m Band Z Tablet Laptop Business Plan 6GB,122.19,6.109500000000001
EBU MBB,116667N,36m Band Z Tablet Laptop Business Plan 25GB,261.88,13.094000000000001
EBU MBB,116667,36m Band Z Tablet Laptop Business Plan 25GB,130.94,6.547000000000001
EBU MBB,116668N,36m Band Z Tablet Laptop Business Plan Unlimited Max,260.83,13.0415
EBU MBB,116668,36m Band Z Tablet Laptop Business Plan Unlimited Max,169.5395,8.476975000000001
EBU MBB,116669N,36m Band Q Tablet Laptop Business Plan 2GB,191.88,9.594
EBU MBB,116669,36m Band Q Tablet Laptop Business Plan 2GB,95.94,4.797
EBU MBB,116670N,36m Band Q Tablet Laptop Business Plan 6GB,206.88,10.344000000000001
EBU MBB,116670,36m Band Q Tablet Laptop Business Plan 6GB,103.44,5.172000000000001
EBU MBB,116671N,36m Band Q Tablet Laptop Business Plan 25GB,224.38,11.219000000000001
EBU MBB,116671,36m Band Q Tablet Laptop Business Plan 25GB,112.19,5.609500000000001
EBU MBB,116672N,36m Band Q Tablet Laptop Business Plan Unlimited Max,218.75,10.9375
